deployment_mode,scenario,metric,statistic,value,run_count
cloud_only,fault_alternate,anomaly_decisions,count,5,5
cloud_only,fault_alternate,anomaly_decisions,mean,14.2,5
cloud_only,fault_alternate,anomaly_decisions,median,17.0,5
cloud_only,fault_alternate,anomaly_decisions,std,7.395944834840238,5
cloud_only,fault_alternate,anomaly_decisions,p95,18.0,5
cloud_only,fault_alternate,anomaly_decisions,min,1.0,5
cloud_only,fault_alternate,anomaly_decisions,max,18.0,5
cloud_only,fault_alternate,anomaly_events,count,5,5
cloud_only,fault_alternate,anomaly_events,mean,1317.4,5
cloud_only,fault_alternate,anomaly_events,median,1619.0,5
cloud_only,fault_alternate,anomaly_events,std,682.7959431631093,5
cloud_only,fault_alternate,anomaly_events,p95,1628.0,5
cloud_only,fault_alternate,anomaly_events,min,96.0,5
cloud_only,fault_alternate,anomaly_events,max,1629.0,5
cloud_only,fault_alternate,classifier_accuracy,count,4,5
cloud_only,fault_alternate,classifier_accuracy,mean,0.9857641902332147,5
cloud_only,fault_alternate,classifier_accuracy,median,0.9856574833800038,5
cloud_only,fault_alternate,classifier_accuracy,std,0.0017633417921867,5
cloud_only,fault_alternate,classifier_accuracy,p95,0.9874516646673666,5
cloud_only,fault_alternate,classifier_accuracy,min,0.9842171717171717,5
cloud_only,fault_alternate,classifier_accuracy,max,0.9875246224556796,5
cloud_only,fault_alternate,classifier_correct_count,count,5,5
cloud_only,fault_alternate,classifier_correct_count,mean,1230.2,5
cloud_only,fault_alternate,classifier_correct_count,median,1523.0,5
cloud_only,fault_alternate,classifier_correct_count,std,688.1661863242047,5
cloud_only,fault_alternate,classifier_correct_count,p95,1563.8,5
cloud_only,fault_alternate,classifier_correct_count,min,0.0,5
cloud_only,fault_alternate,classifier_correct_count,max,1565.0,5
cloud_only,fault_alternate,classifier_cpu_count,count,5,5
cloud_only,fault_alternate,classifier_cpu_count,mean,134.4,5
cloud_only,fault_alternate,classifier_cpu_count,median,157.0,5
cloud_only,fault_alternate,classifier_cpu_count,std,50.53513629149525,5
cloud_only,fault_alternate,classifier_cpu_count,p95,157.0,5
cloud_only,fault_alternate,classifier_cpu_count,min,44.0,5
cloud_only,fault_alternate,classifier_cpu_count,max,157.0,5
cloud_only,fault_alternate,classifier_cpu_max,count,5,5
cloud_only,fault_alternate,classifier_cpu_max,mean,2.1612,5
cloud_only,fault_alternate,classifier_cpu_max,median,2.096,5
cloud_only,fault_alternate,classifier_cpu_max,std,0.29394846487097026,5
cloud_only,fault_alternate,classifier_cpu_max,p95,2.4742,5
cloud_only,fault_alternate,classifier_cpu_max,min,1.86,5
cloud_only,fault_alternate,classifier_cpu_max,max,2.478,5
cloud_only,fault_alternate,classifier_cpu_mean,count,5,5
cloud_only,fault_alternate,classifier_cpu_mean,mean,0.46660842501447597,5
cloud_only,fault_alternate,classifier_cpu_mean,median,0.46611464968152866,5
cloud_only,fault_alternate,classifier_cpu_mean,std,0.012677832811321463,5
cloud_only,fault_alternate,classifier_cpu_mean,p95,0.4812420382165605,5
cloud_only,fault_alternate,classifier_cpu_mean,min,0.44870454545454547,5
cloud_only,fault_alternate,classifier_cpu_mean,max,0.48400636942675157,5
cloud_only,fault_alternate,classifier_cpu_median,count,5,5
cloud_only,fault_alternate,classifier_cpu_median,mean,0.0955,5
cloud_only,fault_alternate,classifier_cpu_median,median,0.095,5
cloud_only,fault_alternate,classifier_cpu_median,std,0.0014142135623730963,5
cloud_only,fault_alternate,classifier_cpu_median,p95,0.097,5
cloud_only,fault_alternate,classifier_cpu_median,min,0.094,5
cloud_only,fault_alternate,classifier_cpu_median,max,0.097,5
cloud_only,fault_alternate,classifier_cpu_min,count,5,5
cloud_only,fault_alternate,classifier_cpu_min,mean,0.0776,5
cloud_only,fault_alternate,classifier_cpu_min,median,0.078,5
cloud_only,fault_alternate,classifier_cpu_min,std,0.0015165750888103114,5
cloud_only,fault_alternate,classifier_cpu_min,p95,0.079,5
cloud_only,fault_alternate,classifier_cpu_min,min,0.076,5
cloud_only,fault_alternate,classifier_cpu_min,max,0.079,5
cloud_only,fault_alternate,classifier_cpu_p95,count,5,5
cloud_only,fault_alternate,classifier_cpu_p95,mean,1.9002700000000001,5
cloud_only,fault_alternate,classifier_cpu_p95,median,1.8422,5
cloud_only,fault_alternate,classifier_cpu_p95,std,0.13709204754470622,5
cloud_only,fault_alternate,classifier_cpu_p95,p95,2.0848,5
cloud_only,fault_alternate,classifier_cpu_p95,min,1.8323500000000001,5
cloud_only,fault_alternate,classifier_cpu_p95,max,2.1454,5
cloud_only,fault_alternate,classifier_cpu_std,count,5,5
cloud_only,fault_alternate,classifier_cpu_std,mean,0.7081786992046251,5
cloud_only,fault_alternate,classifier_cpu_std,median,0.6924245476034162,5
cloud_only,fault_alternate,classifier_cpu_std,std,0.040222177380748146,5
cloud_only,fault_alternate,classifier_cpu_std,p95,0.7633017677944219,5
cloud_only,fault_alternate,classifier_cpu_std,min,0.6759921902558866,5
cloud_only,fault_alternate,classifier_cpu_std,max,0.7766252561053554,5
cloud_only,fault_alternate,classifier_ground_truth_count,count,5,5
cloud_only,fault_alternate,classifier_ground_truth_count,mean,1248.0,5
cloud_only,fault_alternate,classifier_ground_truth_count,median,1543.0,5
cloud_only,fault_alternate,classifier_ground_truth_count,std,698.2145085860076,5
cloud_only,fault_alternate,classifier_ground_truth_count,p95,1588.8,5
cloud_only,fault_alternate,classifier_ground_truth_count,min,0.0,5
cloud_only,fault_alternate,classifier_ground_truth_count,max,1590.0,5
cloud_only,fault_alternate,classifier_memory_count,count,5,5
cloud_only,fault_alternate,classifier_memory_count,mean,134.4,5
cloud_only,fault_alternate,classifier_memory_count,median,157.0,5
cloud_only,fault_alternate,classifier_memory_count,std,50.53513629149525,5
cloud_only,fault_alternate,classifier_memory_count,p95,157.0,5
cloud_only,fault_alternate,classifier_memory_count,min,44.0,5
cloud_only,fault_alternate,classifier_memory_count,max,157.0,5
cloud_only,fault_alternate,classifier_memory_max,count,5,5
cloud_only,fault_alternate,classifier_memory_max,mean,258191360.0,5
cloud_only,fault_alternate,classifier_memory_max,median,260108288.0,5
cloud_only,fault_alternate,classifier_memory_max,std,5516071.961613264,5
cloud_only,fault_alternate,classifier_memory_max,p95,261313331.2,5
cloud_only,fault_alternate,classifier_memory_max,min,248393728.0,5
cloud_only,fault_alternate,classifier_memory_max,max,261328896.0,5
cloud_only,fault_alternate,classifier_memory_mean,count,5,5
cloud_only,fault_alternate,classifier_memory_mean,mean,257491843.83925882,5
cloud_only,fault_alternate,classifier_memory_mean,median,259851674.9044586,5
cloud_only,fault_alternate,classifier_memory_mean,std,5199288.336232568,5
cloud_only,fault_alternate,classifier_memory_mean,p95,259871607.03184712,5
cloud_only,fault_alternate,classifier_memory_mean,min,248192279.27272728,5
cloud_only,fault_alternate,classifier_memory_mean,max,259871737.477707,5
cloud_only,fault_alternate,classifier_memory_median,count,5,5
cloud_only,fault_alternate,classifier_memory_median,mean,257475379.2,5
cloud_only,fault_alternate,classifier_memory_median,median,259842048.0,5
cloud_only,fault_alternate,classifier_memory_median,std,5200994.608712761,5
cloud_only,fault_alternate,classifier_memory_median,p95,259848601.6,5
cloud_only,fault_alternate,classifier_memory_median,min,248172544.0,5
cloud_only,fault_alternate,classifier_memory_median,max,259850240.0,5
cloud_only,fault_alternate,classifier_memory_min,count,5,5
cloud_only,fault_alternate,classifier_memory_min,mean,257237811.2,5
cloud_only,fault_alternate,classifier_memory_min,median,259584000.0,5
cloud_only,fault_alternate,classifier_memory_min,std,5174090.643645432,5
cloud_only,fault_alternate,classifier_memory_min,p95,259628236.8,5
cloud_only,fault_alternate,classifier_memory_min,min,247984128.0,5
cloud_only,fault_alternate,classifier_memory_min,max,259629056.0,5
cloud_only,fault_alternate,classifier_memory_p95,count,5,5
cloud_only,fault_alternate,classifier_memory_p95,mean,257684111.36,5
cloud_only,fault_alternate,classifier_memory_p95,median,260055040.0,5
cloud_only,fault_alternate,classifier_memory_p95,std,5203513.69330921,5
cloud_only,fault_alternate,classifier_memory_p95,p95,260071260.16,5
cloud_only,fault_alternate,classifier_memory_p95,min,248377344.0,5
