deployment_mode,scenario,metric,statistic,value,run_count
cloud_only,fault_alternate,anomaly_events,count,5,5
cloud_only,fault_alternate,anomaly_events,mean,1317.4,5
cloud_only,fault_alternate,anomaly_events,median,1619.0,5
cloud_only,fault_alternate,anomaly_events,std,682.7959431631093,5
cloud_only,fault_alternate,anomaly_events,p95,1628.0,5
cloud_only,fault_alternate,anomaly_events,min,96.0,5
cloud_only,fault_alternate,anomaly_events,max,1629.0,5
cloud_only,fault_alternate,anomaly_ratio_count,count,5,5
cloud_only,fault_alternate,anomaly_ratio_count,mean,27.0,5
cloud_only,fault_alternate,anomaly_ratio_count,median,31.0,5
cloud_only,fault_alternate,anomaly_ratio_count,std,10.074720839804943,5
cloud_only,fault_alternate,anomaly_ratio_count,p95,32.0,5
cloud_only,fault_alternate,anomaly_ratio_count,min,9.0,5
cloud_only,fault_alternate,anomaly_ratio_count,max,32.0,5
cloud_only,fault_alternate,anomaly_ratio_max,count,5,5
cloud_only,fault_alternate,anomaly_ratio_max,mean,0.99,5
cloud_only,fault_alternate,anomaly_ratio_max,median,1.0,5
cloud_only,fault_alternate,anomaly_ratio_max,std,0.022360679774997918,5
cloud_only,fault_alternate,anomaly_ratio_max,p95,1.0,5
cloud_only,fault_alternate,anomaly_ratio_max,min,0.95,5
cloud_only,fault_alternate,anomaly_ratio_max,max,1.0,5
cloud_only,fault_alternate,anomaly_ratio_mean,count,5,5
cloud_only,fault_alternate,anomaly_ratio_mean,mean,0.4240002240143369,5
cloud_only,fault_alternate,anomaly_ratio_mean,median,0.5015625,5
cloud_only,fault_alternate,anomaly_ratio_mean,std,0.17806272978271895,5
cloud_only,fault_alternate,anomaly_ratio_mean,p95,0.5088387096774193,5
cloud_only,fault_alternate,anomaly_ratio_mean,min,0.10555555555555556,5
cloud_only,fault_alternate,anomaly_ratio_mean,max,0.5106451612903226,5
cloud_only,fault_alternate,anomaly_ratio_median,count,5,5
cloud_only,fault_alternate,anomaly_ratio_median,mean,0.5790000000000001,5
cloud_only,fault_alternate,anomaly_ratio_median,median,0.6950000000000001,5
cloud_only,fault_alternate,anomaly_ratio_median,std,0.326427633634164,5
